day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
1,1100,KELP,2032,22,,,,,2035,22,,,,,2033.5,14.54614258
1,1100,RAINFOREST_RESIN,9996,1,9995,21,,,10002,6,10004,1,10005,21,9999,24
1,1200,SQUID_INK,1839,22,,,,,1842,23,,,,,1840.5,87.25
1,1200,RAINFOREST_RESIN,9996,1,9995,22,,,10004,1,10005,22,,,10000,24
1,1200,KELP,2031,23,,,,,2032,1,2035,23,,,2031.5,14.77050781
1,1300,SQUID_INK,1840,25,,,,,1843,25,,,,,1841.5,97.765625
1,1300,KELP,2031,25,,,,,2035,25,,,,,2033,15.82409668
1,1300,RAINFOREST_RESIN,10002,1,9995,25,,,10005,25,,,,,10003.5,24
1,1400,RAINFOREST_RESIN,9995,23,,,,,10000,6,10005,23,,,9997.5,26
1,1400,KELP,2031,23,,,,,2033,6,2035,23,,,2032,15.83337402
1,1400,SQUID_INK,1841,23,,,,,1842,6,1844,23,,,1841.5,110.4726563
1,1500,SQUID_INK,1844,1,1842,21,,,1845,21,,,,,1844.5,134.6210938
1,1500,KELP,2034,1,2032,1,2031,20,2035,21,,,,,2034.5,17.08300781
1,1500,RAINFOREST_RESIN,9996,1,9995,20,,,9998,4,10004,1,10005,20,9997,26
1,1600,SQUID_INK,1844,2,1843,28,,,1847,30,,,,,1845.5,162.8320313
1,1600,RAINFOREST_RESIN,9996,2,9995,28,,,10004,2,10005,28,,,10000,34
1,1600,KELP,2032,30,,,,,2035,30,,,,,2033.5,18.22900391
1,1700,SQUID_INK,1841,28,,,,,1843,8,1844,28,,,1842,118.8984375
1,1700,KELP,2032,28,,,,,2034,8,2035,28,,,2033,18.30908203
1,1700,RAINFOREST_RESIN,9995,28,,,,,10005,28,,,,,10000,34
1,1800,RAINFOREST_RESIN,10000,4,9995,23,,,10002,10,10005,23,,,10001,34
1,1800,KELP,2033,4,2032,23,,,2035,23,,,,,2034,11.70898438
1,1800,SQUID_INK,1843,4,1841,23,,,1845,23,,,,,1844,126.5390625
1,1900,KELP,2032,31,,,,,2035,32,,,,,2033.5,12.30859375
1,1900,SQUID_INK,1844,32,,,,,1845,1,1847,2,1848,30,1844.5,166.2753906
1,1900,RAINFOREST_RESIN,9996,2,9995,30,,,10004,2,10005,30,,,10000,34
1,2000,KELP,2032,23,,,,,2035,23,,,,,2033.5,12.56054688
1,2000,SQUID_INK,1846,23,,,,,1849,23,,,,,1847.5,195.3398438
1,2000,RAINFOREST_RESIN,9996,2,9995,21,,,10004,2,10005,21,,,10000,34
1,2100,SQUID_INK,1845,28,,,,,1847,5,1848,2,1849,26,1846,182.2695313
1,2100,RAINFOREST_RESIN,9996,2,9995,26,,,10004,2,10005,26,,,10000,34
1,2100,KELP,2032,2,2031,26,,,2034,5,2035,28,,,2033,11.46289063
1,2200,RAINFOREST_RESIN,9996,1,9995,20,,,9998,4,10004,1,10005,20,9997,34
1,2200,KELP,2032,25,,,,,2035,21,,,,,2033.5,11.83203125
1,2200,SQUID_INK,1846,25,,,,,1849,21,,,,,1847.5,195.765625
1,2300,KELP,2032,7,2031,22,,,2035,24,,,,,2033.5,11.59765625
1,2300,SQUID_INK,1848,7,1847,22,,,1851,24,,,,,1849.5,224.2265625
1,2300,RAINFOREST_RESIN,9996,2,9995,22,,,10004,2,10005,22,,,10000,42
1,2400,KELP,2031,22,,,,,2035,22,,,,,2033,10.3828125
1,2400,SQUID_INK,1846,22,,,,,1849,22,,,,,1847.5,195.3789063
1,2400,RAINFOREST_RESIN,9996,2,9995,20,,,10004,2,10005,20,,,10000,42
1,2500,SQUID_INK,1847,2,1846,21,,,1850,23,,,,,1848.5,204.9804688
1,2500,RAINFOREST_RESIN,9998,3,9996,2,9995,21,10004,2,10005,21,,,10001,42
1,2500,KELP,2032,2,2031,21,,,2035,23,,,,,2033.5,11.35351563
1,2600,RAINFOREST_RESIN,10002,1,9996,1,9995,29,10004,1,10005,29,,,10003,42
1,2600,KELP,2032,1,2031,29,,,2035,30,,,,,2033.5,10.50585938
1,2600,SQUID_INK,1849,30,,,,,1852,30,,,,,1850.5,250.125
1,2700,KELP,2032,9,2031,21,,,2035,23,,,,,2033.5,11.49609375
1,2700,SQUID_INK,1848,30,,,,,1851,23,,,,,1849.5,232.328125
1,2700,RAINFOREST_RESIN,9998,7,9996,2,9995,21,10004,2,10005,21,,,10001,44
1,2800,KELP,2031,27,,,,,2035,27,,,,,2033,10.40039063
1,2800,SQUID_INK,1849,27,,,,,1852,27,,,,,1850.5,252.0078125
1,2800,RAINFOREST_RESIN,9995,27,,,,,10005,27,,,,,10000,44
1,2900,SQUID_INK,1848,22,,,,,1851,22,,,,,1849.5,237.78125
1,2900,RAINFOREST_RESIN,9996,2,9995,20,,,10004,2,10005,20,,,10000,44
1,2900,KELP,2031,22,,,,,2035,22,,,,,2033,10.27929688
1,3000,RAINFOREST_RESIN,9996,1,9995,29,,,10004,1,10005,29,,,10000,44
1,3000,KELP,2034,1,2032,6,2031,29,2035,30,,,,,2034.5,11.0078125
1,3000,SQUID_INK,1850,1,1848,35,,,1851,30,,,,,1850.5,230.5546875
1,3100,KELP,2032,28,,,,,2035,28,,,,,2033.5,13.38867188
1,3100,SQUID_INK,1848,28,,,,,1851,28,,,,,1849.5,236.3515625
1,3100,RAINFOREST_RESIN,9998,5,9996,1,9995,27,10004,1,10005,27,,,10001,44
1,3200,KELP,2032,24,,,,,2033,5,2035,24,,,2032.5,13.38476563
1,3200,SQUID_INK,1848,24,,,,,1849,5,1851,24,,,1848.5,239.6796875
1,3200,RAINFOREST_RESIN,10002,2,9995,24,,,10005,24,,,,,10003.5,44
1,3300,SQUID_INK,1849,25,,,,,1852,25,,,,,1850.5,266.1953125
1,3300,RAINFOREST_RESIN,10002,1,9996,1,9995,24,10004,1,10005,24,,,10003,48
1,3300,KELP,2032,25,,,,,2035,25,,,,,2033.5,14.92382813
1,3400,RAINFOREST_RESIN,9998,10,9996,2,9995,27,10004,2,10005,27,,,10001,50
1,3400,KELP,2032,29,,,,,2035,29,,,,,2033.5,21.57421875
1,3400,SQUID_INK,1849,2,1848,27,,,1852,29,,,,,1850.5,248.8632813
1,3500,KELP,2032,26,,,,,2035,26,,,,,2033.5,20.00195313
1,3500,SQUID_INK,1850,26,,,,,1853,26,,,,,1851.5,276.9648438
1,3500,RAINFOREST_RESIN,9995,26,,,,,10002,10,10005,26,,,9998.5,50
1,3600,KELP,2032,27,,,,,2035,27,,,,,2033.5,19.34570313
1,3600,SQUID_INK,1850,27,,,,,1853,27,,,,,1851.5,281.4179688
1,3600,RAINFOREST_RESIN,9995,27,,,,,10002,8,10005,27,,,9998.5,50
1,3700,SQUID_INK,1851,25,,,,,1854,25,,,,,1852.5,301.2773438
1,3700,RAINFOREST_RESIN,9998,3,9995,25,,,10005,25,,,,,10001.5,50
1,3700,KELP,2032,25,,,,,2035,25,,,,,2033.5,20.48046875
1,3800,RAINFOREST_RESIN,9995,24,,,,,10005,24,,,,,10000,50
1,3800,KELP,2032,24,,,,,2034,7,2035,24,,,2033,21.44921875
1,3800,SQUID_INK,1853,24,,,,,1854,7,1856,24,,,1853.5,348.9765625
1,3900,KELP,2032,27,,,,,2035,26,,,,,2033.5,18.296875
1,3900,SQUID_INK,1852,27,,,,,1855,26,,,,,1853.5,320.265625
1,3900,RAINFOREST_RESIN,9996,2,9995,24,,,10004,2,10005,24,,,10000,50
1,4000,KELP,2032,30,,,,,2035,31,,,,,2033.5,19.92578125
1,4000,SQUID_INK,1854,30,,,,,1857,31,,,,,1855.5,388.9609375
1,4000,RAINFOREST_RESIN,10002,1,9996,1,9995,30,10004,1,10005,30,,,10003,50
1,4100,RAINFOREST_RESIN,10000,5,9996,2,9995,22,10002,4,10004,2,10005,22,10001,52
1,4100,SQUID_INK,1855,5,1854,2,1853,22,1857,24,,,,,1856,376.0742188
1,4100,KELP,2033,5,2032,24,,,2035,24,,,,,2034,16.2109375
1,4200,RAINFOREST_RESIN,10002,5,9996,1,9995,28,10004,1,10005,28,,,10003,52
1,4200,KELP,2032,29,,,,,2034,7,2035,29,,,2033,14.09375
1,4200,SQUID_INK,1854,29,,,,,1856,7,1857,29,,,1855,387.6328125
1,4300,KELP,2032,24,,,,,2035,26,,,,,2033.5,11.37890625
1,4300,RAINFOREST_RESIN,9995,26,,,,,10002,8,10005,26,,,9998.5,62
1,4300,SQUID_INK,1854,24,,,,,1857,26,,,,,1855.5,382.3242188
1,4400,KELP,2032,28,,,,,2035,28,,,,,2033.5,12.28515625
1,4400,SQUID_INK,1853,28,,,,,1856,28,,,,,1854.5,360.09375
1,4400,RAINFOREST_RESIN,9995,28,,,,,10005,28,,,,,10000,62
1,4500,RAINFOREST_RESIN,9995,26,,,,,10005,26,,,,,10000,62
1,4500,SQUID_INK,1853,26,,,,,1854,8,1856,26,,,1853.5,352.8359375
1,4500,KELP,2032,26,,,,,2034,8,2035,26,,,2033,11.98828125
1,4600,RAINFOREST_RESIN,9995,21,,,,,10005,21,,,,,10000,62
1,4600,KELP,2032,21,,,,,2034,3,2035,21,,,2033,12.63671875
1,4600,SQUID_INK,1857,21,,,,,1858,3,1860,21,,,1857.5,458.5429688
1,4700,KELP,2032,26,,,,,2035,26,,,,,2033.5,13.86328125
1,4700,RAINFOREST_RESIN,9998,5,9995,26,,,10005,26,,,,,10001.5,62
1,4700,SQUID_INK,1855,26,,,,,1858,26,,,,,1856.5,406.71875
1,4800,KELP,2034,1,2032,30,,,2035,23,,,,,2034.5,13.55859375
1,4800,SQUID_INK,1861,1,1860,7,1859,23,1863,23,,,,,1862,530.3945313
1,4800,RAINFOREST_RESIN,9996,1,9995,22,,,10004,1,10005,22,,,10000,62
1,4900,RAINFOREST_RESIN,9996,2,9995,22,,,10004,2,10005,22,,,10000,62
1,4900,SQUID_INK,1857,24,,,,,1859,6,1860,2,1861,22,1858,478.5078125
1,4900,KELP,2032,24,,,,,2034,6,2035,24,,,2033,14.8515625
1,5000,RAINFOREST_RESIN,9998,9,9996,1,9995,30,10004,1,10005,30,,,10001,62
1,5000,KELP,2032,36,,,,,2035,31,,,,,2033.5,14.84375
1,5000,SQUID_INK,1860,6,1859,30,,,1863,31,,,,,1861.5,543.859375
1,5100,KELP,2032,26,,,,,2035,26,,,,,2033.5,14.8359375
1,5100,RAINFOREST_RESIN,9995,26,,,,,10005,26,,,,,10000,62
1,5100,SQUID_INK,1859,26,,,,,1862,26,,,,,1860.5,521.4882813
1,5200,SQUID_INK,1859,11,1858,25,,,1861,25,,,,,1860,507.1914063
1,5200,KELP,2033,5,2032,31,,,2035,25,,,,,2034,14.8359375
1,5200,RAINFOREST_RESIN,10000,5,9998,7,9996,2,10004,2,10005,23,,,10002,62
1,5300,RAINFOREST_RESIN,9995,22,,,,,9998,12,10005,22,,,9996.5,62
1,5300,SQUID_INK,1857,22,,,,,1860,22,,,,,1858.5,461.8632813
1,5300,KELP,2032,22,,,,,2035,22,,,,,2033.5,17.640625
1,5400,RAINFOREST_RESIN,9995,30,,,,,10005,30,,,,,10000,86
1,5400,SQUID_INK,1857,30,,,,,1860,30,,,,,1858.5,457.7695313
1,5400,KELP,2032,30,,,,,2035,30,,,,,2033.5,18.9921875
1,5500,KELP,2032,21,,,,,2035,29,,,,,2033.5,16.3671875
1,5500,RAINFOREST_RESIN,9996,1,9995,28,,,10004,1,10005,28,,,10000,90
1,5500,SQUID_INK,1858,29,,,,,1859,8,1862,29,,,1858.5,510.9804688
1,5600,SQUID_INK,1859,25,,,,,1862,25,,,,,1860.5,532.6328125
1,5600,KELP,2032,25,,,,,2035,25,,,,,2033.5,17.34765625
1,5600,RAINFOREST_RESIN,9998,2,9996,2,9995,23,10004,2,10005,23,,,10001,94
1,5700,RAINFOREST_RESIN,9996,1,9995,30,,,10004,1,10005,30,,,10000,94
1,5700,SQUID_INK,1859,4,1858,30,,,1862,31,,,,,1860.5,520.2109375
1,5700,KELP,2032,34,,,,,2035,31,,,,,2033.5,19.6015625
1,5800,RAINFOREST_RESIN,9996,2,9995,28,,,10004,2,10005,28,,,10000,94
1,5800,SQUID_INK,1858,30,,,,,1861,30,,,,,1859.5,512.8515625
1,5800,KELP,2032,30,,,,,2035,30,,,,,2033.5,18.609375
1,5900,KELP,2032,23,,,,,2035,23,,,,,2033.5,19.2734375
1,5900,RAINFOREST_RESIN,9996,2,9995,21,,,10004,2,10005,21,,,10000,94
1,5900,SQUID_INK,1857,23,,,,,1860,23,,,,,1858.5,472.3125
1,6000,SQUID_INK,1859,30,,,,,1862,30,,,,,1860.5,527.234375
1,6000,KELP,2032,30,,,,,2035,30,,,,,2033.5,21.2109375
1,6000,RAINFOREST_RESIN,9995,30,,,,,10002,10,10005,30,,,9998.5,94
1,6100,RAINFOREST_RESIN,9996,1,9995,24,,,10004,1,10005,24,,,10000,94
1,6100,SQUID_INK,1859,25,,,,,1862,25,,,,,1860.5,525
1,6100,KELP,2032,25,,,,,2035,25,,,,,2033.5,14.06640625
1,6200,RAINFOREST_RESIN,9998,3,9996,1,9995,29,10004,1,10005,29,,,10001,94
1,6200,SQUID_INK,1861,1,1859,30,,,1862,30,,,,,1861.5,541.84375
1,6200,KELP,2034,1,2032,30,,,2035,30,,,,,2034.5,17.96875
1,6300,KELP,2032,22,,,,,2035,22,,,,,2033.5,19.6015625
1,6300,RAINFOREST_RESIN,9995,22,,,,,10005,22,,,,,10000,94
1,6300,SQUID_INK,1859,22,,,,,1862,22,,,,,1860.5,544.890625
1,6400,SQUID_INK,1858,24,,,,,1862,24,,,,,1860,530.8671875
1,6400,KELP,2032,24,,,,,2035,24,,,,,2033.5,22.875
1,6400,RAINFOREST_RESIN,9996,1,9995,23,,,10002,6,10004,1,10005,23,9999,94
1,6500,RAINFOREST_RESIN,9995,22,,,,,10005,22,,,,,10000,94
1,6500,SQUID_INK,1859,22,,,,,1862,22,,,,,1860.5,552.2890625
1,6500,KELP,2032,22,,,,,2035,22,,,,,2033.5,22.875
1,6600,RAINFOREST_RESIN,9996,2,9995,27,,,10004,2,10005,27,,,10000,94
1,6600,SQUID_INK,1860,22,,,,,1863,29,,,,,1861.5,571.2539063
1,6600,KELP,2032,22,,,,,2035,29,,,,,2033.5,25.09375
1,6700,KELP,2032,31,,,,,2034,7,2035,1,2036,30,2033,25.953125
1,6700,RAINFOREST_RESIN,9996,1,9995,30,,,10004,1,10005,30,,,10000,94
1,6700,SQUID_INK,1859,31,,,,,1861,7,1862,31,,,1860,548.578125
1,6800,SQUID_INK,1860,4,1859,31,,,1862,2,1863,29,,,1861,554.3046875
1,6800,KELP,2033,4,2032,31,,,2035,31,,,,,2034,22.3359375
1,6800,RAINFOREST_RESIN,10000,5,9996,2,9995,29,10004,2,10005,29,,,10002,94
1,6900,RAINFOREST_RESIN,9996,2,9995,27,,,10004,2,10005,27,,,10000,94
1,6900,SQUID_INK,1860,29,,,,,1862,3,1863,29,,,1861,567.0234375
1,6900,KELP,2032,29,,,,,2034,3,2035,29,,,2033,22.5703125
1,7000,RAINFOREST_RESIN,9996,1,9995,30,,,10004,1,10005,30,,,10000,94
1,7000,SQUID_INK,1860,7,1859,31,,,1863,31,,,,,1861.5,556.9023438
1,7000,KELP,2032,38,,,,,2035,31,,,,,2033.5,22.5546875
1,7100,KELP,2032,31,,,,,2035,31,,,,,2033.5,23.32421875
1,7100,RAINFOREST_RESIN,9996,1,9995,30,,,9998,5,10002,7,10004,1,9997,94
1,7100,SQUID_INK,1860,31,,,,,1863,31,,,,,1861.5,573.6875
1,7200,SQUID_INK,1859,29,,,,,1862,23,,,,,1860.5,534.890625
1,7200,KELP,2032,29,,,,,2035,23,,,,,2033.5,22.48046875
1,7200,RAINFOREST_RESIN,9996,1,9995,22,,,10002,1,10004,1,10005,22,9999,104
1,7300,RAINFOREST_RESIN,9996,1,9995,25,,,10004,1,10005,25,,,10000,128
1,7300,SQUID_INK,1858,26,,,,,1861,26,,,,,1859.5,524.7304688
1,7300,KELP,2032,26,,,,,2035,26,,,,,2033.5,23.83203125
1,7400,RAINFOREST_RESIN,10002,1,9995,22,,,10005,22,,,,,10003.5,128
1,7400,SQUID_INK,1859,22,,,,,1862,22,,,,,1860.5,536.4960938
1,7400,KELP,2032,22,,,,,2035,22,,,,,2033.5,22.734375
1,7500,KELP,2032,29,,,,,2034,3,2035,29,,,2033,25.24804688
1,7500,RAINFOREST_RESIN,9995,29,,,,,10005,29,,,,,10000,130
1,7500,SQUID_INK,1858,29,,,,,1860,3,1862,29,,,1859,542.9101563
1,7600,SQUID_INK,1859,27,,,,,1862,27,,,,,1860.5,549.6679688
1,7600,KELP,2032,27,,,,,2035,27,,,,,2033.5,25.0859375
1,7600,RAINFOREST_RESIN,10002,1,9995,27,,,10005,27,,,,,10003.5,130
1,7700,RAINFOREST_RESIN,9996,1,9995,25,,,10002,5,10004,1,10005,25,9999,132
1,7700,SQUID_INK,1858,26,,,,,1861,1,1862,25,,,1859.5,542.7558594
1,7700,KELP,2032,26,,,,,2035,26,,,,,2033.5,25.08203125
1,7800,RAINFOREST_RESIN,9995,23,,,,,10005,23,,,,,10000,132
1,7800,SQUID_INK,1859,1,1858,23,,,1861,23,,,,,1860,541.9980469
1,7800,KELP,2032,24,,,,,2035,23,,,,,2033.5,25.41015625
1,7900,KELP,2032,24,,,,,2035,24,,,,,2033.5,24.7265625
1,7900,RAINFOREST_RESIN,9996,2,9995,22,,,10002,7,10004,2,10005,22,9999,132
1,7900,SQUID_INK,1858,2,1857,22,,,1861,24,,,,,1859.5,528.4648438
1,8000,SQUID_INK,1858,1,1857,3,1856,30,1859,30,,,,,1858.5,499.703125
1,8000,KELP,2034,1,2033,3,2032,30,2035,30,,,,,2034.5,25.48046875
1,8000,RAINFOREST_RESIN,10000,3,9996,2,9995,28,10004,2,10005,28,,,10002,132
1,8100,SQUID_INK,1858,25,,,,,1861,25,,,,,1859.5,532.2402344
1,8100,KELP,2032,25,,,,,2035,25,,,,,2033.5,23.28710938
1,8100,RAINFOREST_RESIN,9995,25,,,,,10005,25,,,,,10000,132
1,8200,SQUID_INK,1857,27,,,,,1860,27,,,,,1858.5,524.2246094
1,8200,RAINFOREST_RESIN,9996,2,9995,25,,,10004,2,10005,25,,,10000,132
1,8200,KELP,2032,27,,,,,2035,27,,,,,2033.5,23.1328125
1,8300,KELP,2032,28,,,,,2035,28,,,,,2033.5,25.08203125
1,8300,RAINFOREST_RESIN,9998,9,9995,28,,,10005,28,,,,,10001.5,132
1,8300,SQUID_INK,1857,28,,,,,1860,28,,,,,1858.5,514.4042969
1,8400,SQUID_INK,1857,29,,,,,1860,29,,,,,1858.5,514.0410156
1,8400,RAINFOREST_RESIN,9998,5,9995,29,,,10005,29,,,,,10001.5,132
1,8400,KELP,2032,29,,,,,2035,29,,,,,2033.5,26.79296875
1,8500,SQUID_INK,1858,35,,,,,1861,27,,,,,1859.5,530.2695313
1,8500,KELP,2032,35,,,,,2035,27,,,,,2033.5,27.125
1,8500,RAINFOREST_RESIN,9996,2,9995,25,,,10004,2,10005,25,,,10000,132
1,8600,SQUID_INK,1857,29,,,,,1860,29,,,,,1858.5,524.5097656
1,8600,RAINFOREST_RESIN,9996,2,9995,27,,,10004,2,10005,27,,,10000,132
1,8600,KELP,2032,29,,,,,2035,29,,,,,2033.5,26.95703125
1,8700,KELP,2034,1,2032,32,,,2035,24,,,,,2034.5,26.95703125
1,8700,SQUID_INK,1858,1,1857,8,1856,24,1859,2,1860,22,,,1858.5,511.5488281
1,8700,RAINFOREST_RESIN,9996,2,9995,22,,,10004,2,10005,22,,,10000,132
1,8800,RAINFOREST_RESIN,9996,1,9995,30,,,10004,1,10005,30,,,10000,132
1,8800,KELP,2032,31,,,,,2035,1,2036,30,,,2033.5,28.171875
1,8800,SQUID_INK,1857,31,,,,,1860,31,,,,,1858.5,519.5292969
1,8900,KELP,2032,28,,,,,2036,26,,,,,2034,28.0078125
1,8900,SQUID_INK,1856,28,,,,,1859,26,,,,,1857.5,506.5585938
1,8900,RAINFOREST_RESIN,9995,26,,,,,10005,26,,,,,10000,132
1,9000,SQUID_INK,1856,23,,,,,1859,23,,,,,1857.5,508.9101563
1,9000,RAINFOREST_RESIN,9995,23,,,,,10005,23,,,,,10000,132
1,9000,KELP,2032,23,,,,,2036,23,,,,,2034,28.33984375
1,9100,KELP,2033,5,2032,22,,,2036,22,,,,,2034.5,29.27734375
1,9100,SQUID_INK,1855,27,,,,,1858,22,,,,,1856.5,489.3085938
1,9100,RAINFOREST_RESIN,9995,22,,,,,9998,1,10005,22,,,9996.5,132
1,9200,RAINFOREST_RESIN,9996,2,9995,25,,,10004,2,10005,25,,,10000,178
1,9200,KELP,2033,3,2032,27,,,2036,27,,,,,2034.5,29.15234375
1,9200,SQUID_INK,1855,30,,,,,1858,27,,,,,1856.5,492.1835938
1,9300,KELP,2032,30,,,,,2036,30,,,,,2034,30.59960938
1,9300,SQUID_INK,1854,30,,,,,1857,30,,,,,1855.5,473.9726563
1,9300,RAINFOREST_RESIN,10002,11,9998,1,9996,1,10004,1,10005,29,,,10003,178
1,9400,SQUID_INK,1855,33,,,,,1858,30,,,,,1856.5,487.9589844
1,9400,RAINFOREST_RESIN,10002,1,9996,2,9995,28,10004,2,10005,28,,,10003,200
1,9400,KELP,2033,3,2032,30,,,2036,30,,,,,2034.5,30.75585938
1,9500,KELP,2032,26,,,,,2036,26,,,,,2034,30.8828125
1,9500,SQUID_INK,1853,26,,,,,1856,26,,,,,1854.5,461.6074219
1,9500,RAINFOREST_RESIN,10002,1,9996,2,9995,24,10004,2,10005,24,,,10003,202
1,9600,RAINFOREST_RESIN,9996,1,9995,20,,,10002,6,10004,1,10005,20,9999,204
1,9600,KELP,2032,21,,,,,2036,21,,,,,2034,30.08007813
1,9600,SQUID_INK,1855,21,,,,,1858,21,,,,,1856.5,488.21875
1,9700,SQUID_INK,1855,31,,,,,1856,5,1857,5,1858,31,1855.5,491.09375
1,9700,KELP,2032,31,,,,,2034,10,2036,31,,,2033,31.6796875
1,9700,RAINFOREST_RESIN,9996,1,9995,30,,,10000,4,10004,1,10005,30,9998,204
1,9800,SQUID_INK,1855,26,,,,,1858,26,,,,,1856.5,494.0195313
1,9800,RAINFOREST_RESIN,9998,1,9996,2,9995,24,10004,2,10005,24,,,10001,204
1,9800,KELP,2032,26,,,,,2036,26,,,,,2034,31.2890625
1,9900,SQUID_INK,1858,24,,,,,1861,24,,,,,1859.5,555.53125
1,9900,KELP,2032,24,,,,,2036,24,,,,,2034,32.6484375
1,9900,RAINFOREST_RESIN,9995,24,,,,,10005,24,,,,,10000,204
1,10000,RAINFOREST_RESIN,9995,27,,,,,10005,27,,,,,10000,204
1,10000,KELP,2032,27,,,,,2036,27,,,,,2034,36.37109375
1,10000,SQUID_INK,1856,27,,,,,1859,27,,,,,1857.5,516.953125
1,10100,SQUID_INK,1857,21,,,,,1859,5,1860,21,,,1858,535.5507813
1,10100,KELP,2033,21,,,,,2035,5,2036,21,,,2034,38.28125
1,10100,RAINFOREST_RESIN,10002,4,9996,1,9995,20,10004,1,10005,20,,,10003,204
1,10200,SQUID_INK,1857,20,,,,,1860,20,,,,,1858.5,537.7109375
1,10200,RAINFOREST_RESIN,9995,20,,,,,10005,20,,,,,10000,212
1,10200,KELP,2033,20,,,,,2036,20,,,,,2034.5,36.796875
1,10300,SQUID_INK,1858,30,,,,,1861,25,,,,,1859.5,546.03125
1,10300,KELP,2033,30,,,,,2036,25,,,,,2034.5,37.83203125
1,10300,RAINFOREST_RESIN,9996,1,9995,24,,,10004,1,10005,24,,,10000,212
1,10400,RAINFOREST_RESIN,9995,25,,,,,10005,25,,,,,10000,212
1,10400,KELP,2033,25,,,,,2036,25,,,,,2034.5,40.609375
1,10400,SQUID_INK,1856,25,,,,,1859,25,,,,,1857.5,521.546875
1,10500,SQUID_INK,1856,34,,,,,1859,26,,,,,1857.5,517.5507813
1,10500,KELP,2033,34,,,,,2036,26,,,,,2034.5,40.12109375
1,10500,RAINFOREST_RESIN,9995,26,,,,,10005,26,,,,,10000,212
1,10600,SQUID_INK,1858,3,1856,20,,,1859,20,,,,,1858.5,518.0429688
1,10600,RAINFOREST_RESIN,9995,20,,,,,10005,20,,,,,10000,212
1,10600,KELP,2035,3,2033,20,,,2036,20,,,,,2035.5,40.3828125
1,10700,SQUID_INK,1857,31,,,,,1860,24,,,,,1858.5,530.1640625
1,10700,KELP,2033,31,,,,,2036,24,,,,,2034.5,43.2734375
1,10700,RAINFOREST_RESIN,9995,24,,,,,9998,3,10005,24,,,9996.5,212
